Run,SampleName,Condition
ERR031027,1,Normal
ERR031028,1,Tumor
ERR031029,2,Normal
ERR031030,2,Tumor
ERR031031,3,Normal
ERR031032,3,Tumor
ERR031033,4,Normal
ERR299297,4,Tumor
ERR031035,5,Normal
ERR299298,5,Tumor
ERR299299,6,Normal
ERR031038,6,Tumor
ERR031039,7,Normal
ERR031040,7,Tumor
ERR031041,8,Normal
ERR031042,8,Tumor
ERR031043,9,Normal
ERR031044,9,Tumor
ERR031017,10,Normal
ERR031018,10,Tumor
ERR031019,11,Normal
ERR299295,11,Tumor
ERR299296,12,Normal
ERR031022,12,Tumor
ERR031023,13,Normal
ERR031024,13,Tumor
ERR031025,14,Normal
ERR031026,14,Tumor
