Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR031017_1	ERR031017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3000000.0	0.0	90.0	47.0	31.125337334011398	90.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
ERR031017_2	ERR031017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3000000.0	0.0	90.0	47.0	32.60936874124025	90.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
ERR031018_1	ERR031018_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3000000.0	0.0	90.0	46.0	54.87830804616345	90.0	pass	warn	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031018_2	ERR031018_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3000000.0	0.0	90.0	46.0	54.95991777820317	90.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031019_1	ERR031019_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3000000.0	0.0	90.0	50.0	63.0130003234286	90.0	pass	fail	pass	pass	warn	warn	pass	pass	warn	warn	pass
ERR031019_2	ERR031019_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3000000.0	0.0	90.0	50.0	64.34168708924298	90.0	pass	fail	pass	pass	warn	warn	pass	pass	warn	pass	pass
ERR031022_1	ERR031022_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3000000.0	0.0	90.0	47.0	60.85296913596995	90.0	pass	fail	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031022_2	ERR031022_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3000000.0	0.0	90.0	47.0	61.54966365073749	90.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	warn	pass
ERR031023_1	ERR031023_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3000000.0	0.0	90.0	47.0	48.64052742926488	90.0	pass	fail	pass	pass	warn	warn	pass	pass	fail	warn	pass
ERR031023_2	ERR031023_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3000000.0	0.0	90.0	47.0	50.61284217340083	90.0	pass	fail	pass	pass	warn	warn	pass	pass	warn	warn	pass
