Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR031017_1	68.87466266598861	47.0	90.0	9.090909090909092	3000000.0
ERR031017_2	67.39063125875975	47.0	90.0	9.090909090909092	3000000.0
ERR031018_1	45.12169195383655	46.0	90.0	0.0	3000000.0
ERR031018_2	45.04008222179683	46.0	90.0	0.0	3000000.0
ERR031019_1	36.9869996765714	50.0	90.0	9.090909090909092	3000000.0
ERR031019_2	35.65831291075702	50.0	90.0	9.090909090909092	3000000.0
ERR031022_1	39.14703086403005	47.0	90.0	9.090909090909092	3000000.0
ERR031022_2	38.45033634926251	47.0	90.0	18.181818181818183	3000000.0
ERR031023_1	51.35947257073512	47.0	90.0	18.181818181818183	3000000.0
ERR031023_2	49.38715782659917	47.0	90.0	9.090909090909092	3000000.0
ERR031024_1	37.74069518102014	46.0	90.0	9.090909090909092	3000000.0
ERR031024_2	36.65985227215675	46.0	90.0	9.090909090909092	3000000.0
ERR031025_1	33.623334222703704	49.0	90.0	0.0	3000000.0
ERR031025_2	27.345820459768817	49.0	90.0	18.181818181818183	3000000.0
ERR031026_1	41.81278459410844	47.0	90.0	9.090909090909092	3000000.0
ERR031026_2	37.966097230626005	47.0	90.0	9.090909090909092	3000000.0
ERR031027_1	52.403350967282606	48.0	90.0	18.181818181818183	3000000.0
ERR031027_2	51.89834590799918	48.0	90.0	18.181818181818183	3000000.0
ERR031028_1	36.576123882363035	45.0	90.0	0.0	3000000.0
ERR031028_2	35.797796805052215	45.0	90.0	9.090909090909092	3000000.0
ERR031029_1	43.498988782966244	47.0	90.0	18.181818181818183	3000000.0
ERR031029_2	41.00935485014995	48.0	90.0	9.090909090909092	3000000.0
ERR031030_1	35.4458515890975	47.0	90.0	9.090909090909092	3000000.0
ERR031030_2	34.2660915953048	47.0	90.0	9.090909090909092	3000000.0
ERR031031_1	36.54201148218712	48.0	90.0	9.090909090909092	3000000.0
ERR031031_2	33.55504943953176	48.0	90.0	18.181818181818183	3000000.0
ERR031032_1	36.245819442529914	46.0	90.0	9.090909090909092	3000000.0
ERR031032_2	33.82413135229886	46.0	90.0	18.181818181818183	3000000.0
ERR031033_1	42.32791959098201	49.0	90.0	9.090909090909092	3000000.0
ERR031033_2	41.55840966228095	49.0	90.0	9.090909090909092	3000000.0
ERR031035_1	40.36821138882475	48.0	90.0	9.090909090909092	3000000.0
ERR031035_2	41.1288143317193	48.0	90.0	9.090909090909092	3000000.0
ERR031038_1	40.383414656371755	47.0	90.0	9.090909090909092	3000000.0
ERR031038_2	39.487235495325976	47.0	90.0	18.181818181818183	3000000.0
ERR031039_1	51.02282623639555	49.0	90.0	18.181818181818183	3000000.0
ERR031039_2	49.737819817545315	49.0	90.0	9.090909090909092	3000000.0
ERR031040_1	37.336252505675816	46.0	90.0	9.090909090909092	3000000.0
ERR031040_2	36.457776100629516	46.0	90.0	9.090909090909092	3000000.0
ERR031041_1	41.115245472530226	48.0	90.0	0.0	3000000.0
ERR031041_2	39.34581579876362	48.0	90.0	0.0	3000000.0
ERR031042_1	53.082354036947706	46.0	90.0	27.27272727272727	3000000.0
ERR031042_2	48.28101301177974	46.0	90.0	18.181818181818183	3000000.0
ERR031043_1	48.99981477074928	46.0	90.0	9.090909090909092	3000000.0
ERR031043_2	44.95934341251472	46.0	90.0	9.090909090909092	3000000.0
ERR031044_1	49.30574254300111	46.0	90.0	9.090909090909092	3000000.0
ERR031044_2	44.22926446867477	46.0	90.0	18.181818181818183	3000000.0
ERR299295_1	27.178623656958862	47.0	90.0	9.090909090909092	3000000.0
ERR299295_2	26.03588669480395	47.0	90.0	9.090909090909092	3000000.0
ERR299296_1	32.44999166822825	48.0	90.0	9.090909090909092	3000000.0
ERR299296_2	33.064286447604715	48.0	90.0	18.181818181818183	3000000.0
ERR299297_1	41.043895519399086	45.0	90.0	9.090909090909092	3000000.0
ERR299297_2	40.21227428394335	45.0	90.0	18.181818181818183	3000000.0
ERR299298_1	41.1003658854607	46.0	90.0	9.090909090909092	3000000.0
ERR299298_2	39.532173068230136	46.0	90.0	9.090909090909092	3000000.0
ERR299299_1	41.303841293326826	48.0	90.0	9.090909090909092	3000000.0
ERR299299_2	39.746503364514815	48.0	90.0	9.090909090909092	3000000.0
