Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR031017_1	ERR031017_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2426674.0	0.0	61.0	45.0	28.76968949187472	61.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
ERR031017_2	ERR031017_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2426674.0	0.0	61.0	45.0	28.84052474929456	61.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
ERR031018_1	ERR031018_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2399617.0	0.0	61.0	44.0	53.0018212751736	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031018_2	ERR031018_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2399617.0	0.0	61.0	44.0	52.81153043154219	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031019_1	ERR031019_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2288827.0	0.0	61.0	47.0	62.74767028430348	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
ERR031019_2	ERR031019_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2288827.0	0.0	61.0	47.0	62.89492576630017	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
ERR031022_1	ERR031022_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2391951.0	0.0	61.0	45.0	60.0737000862702	61.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
ERR031022_2	ERR031022_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2391951.0	0.0	61.0	45.0	59.93580454657015	61.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
ERR031023_1	ERR031023_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2371628.0	0.0	61.0	45.0	47.68324563476126	61.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
ERR031023_2	ERR031023_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2371628.0	0.0	61.0	45.0	48.21018656888592	61.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
ERR031024_1	ERR031024_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2385968.0	0.0	61.0	43.0	61.96077809964453	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031024_2	ERR031024_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2385968.0	0.0	61.0	44.0	61.92365987668158	61.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
ERR031027_1	ERR031027_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2397127.0	0.0	61.0	46.0	45.174479388382025	61.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
ERR031027_2	ERR031027_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2397127.0	0.0	61.0	46.0	45.164031205873926	61.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
ERR031028_1	ERR031028_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2407684.0	0.0	61.0	44.0	62.507077915862766	61.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
ERR031028_2	ERR031028_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2407684.0	0.0	61.0	44.0	62.424825523380804	61.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
ERR031029_1	ERR031029_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2209750.0	0.0	61.0	45.0	55.863794805649725	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031029_2	ERR031029_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2209750.0	0.0	61.0	45.0	56.132407944971604	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031030_1	ERR031030_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2392406.0	0.0	61.0	45.0	63.75436656143817	61.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
ERR031030_2	ERR031030_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2392406.0	0.0	61.0	45.0	63.76205020915345	61.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
ERR031031_1	ERR031031_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2378979.0	0.0	61.0	46.0	62.68485261050999	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031031_2	ERR031031_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2378979.0	0.0	61.0	46.0	62.7773072644899	61.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
ERR031032_1	ERR031032_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2420456.0	0.0	61.0	44.0	62.992119637937286	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
ERR031032_2	ERR031032_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2420456.0	0.0	61.0	44.0	63.04004476665328	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031033_1	ERR031033_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2458282.0	0.0	61.0	46.0	56.5475071268709	61.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
ERR031033_2	ERR031033_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2458282.0	0.0	61.0	46.0	56.542036233483685	61.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
ERR031035_1	ERR031035_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2341886.0	0.0	61.0	46.0	56.674639702371344	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
