Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR031017_1	71.23031050812529	45.0	61.0	9.090909090909092	2426674.0
ERR031017_2	71.15947525070544	45.0	61.0	9.090909090909092	2426674.0
ERR031018_1	46.9981787248264	44.0	61.0	0.0	2399617.0
ERR031018_2	47.18846956845781	44.0	61.0	0.0	2399617.0
ERR031019_1	37.25232971569652	47.0	61.0	0.0	2288827.0
ERR031019_2	37.10507423369983	47.0	61.0	0.0	2288827.0
ERR031022_1	39.9262999137298	45.0	61.0	0.0	2391951.0
ERR031022_2	40.06419545342985	45.0	61.0	9.090909090909092	2391951.0
ERR031023_1	52.31675436523874	45.0	61.0	9.090909090909092	2371628.0
ERR031023_2	51.78981343111408	45.0	61.0	9.090909090909092	2371628.0
ERR031024_1	38.03922190035547	43.0	61.0	0.0	2385968.0
ERR031024_2	38.07634012331842	44.0	61.0	9.090909090909092	2385968.0
ERR031027_1	54.825520611617975	46.0	61.0	9.090909090909092	2397127.0
ERR031027_2	54.835968794126074	46.0	61.0	9.090909090909092	2397127.0
ERR031028_1	37.492922084137234	44.0	61.0	0.0	2407684.0
ERR031028_2	37.575174476619196	44.0	61.0	9.090909090909092	2407684.0
ERR031029_1	44.136205194350275	45.0	61.0	0.0	2209750.0
ERR031029_2	43.867592055028396	45.0	61.0	0.0	2209750.0
ERR031030_1	36.24563343856183	45.0	61.0	0.0	2392406.0
ERR031030_2	36.23794979084655	45.0	61.0	0.0	2392406.0
ERR031031_1	37.31514738949001	46.0	61.0	0.0	2378979.0
ERR031031_2	37.2226927355101	46.0	61.0	0.0	2378979.0
ERR031032_1	37.007880362062714	44.0	61.0	0.0	2420456.0
ERR031032_2	36.95995523334672	44.0	61.0	0.0	2420456.0
ERR031033_1	43.4524928731291	46.0	61.0	0.0	2458282.0
ERR031033_2	43.457963766516315	46.0	61.0	9.090909090909092	2458282.0
ERR031035_1	43.325360297628656	46.0	61.0	0.0	2341886.0
ERR031035_2	43.482049539435785	46.0	61.0	0.0	2341886.0
ERR031038_1	41.11362302590079	45.0	61.0	0.0	2406365.0
ERR031038_2	41.127036495448976	45.0	61.0	9.090909090909092	2406365.0
ERR031039_1	52.482388264281546	46.0	61.0	9.090909090909092	2166473.0
ERR031039_2	51.948344567260015	46.0	61.0	9.090909090909092	2166473.0
ERR031040_1	37.633516322770845	44.0	61.0	0.0	2407943.0
ERR031040_2	37.81842022503932	44.0	61.0	9.090909090909092	2407943.0
ERR031041_1	42.29533216298786	46.0	61.0	0.0	2492470.0
ERR031041_2	42.453447353919714	46.0	61.0	0.0	2492470.0
ERR031042_1	53.81107321768232	44.0	61.0	9.090909090909092	2334159.0
ERR031042_2	53.62814803975676	44.0	61.0	9.090909090909092	2334159.0
ERR031043_1	49.93911109961746	44.0	61.0	0.0	2429214.0
ERR031043_2	49.797907958290274	44.0	61.0	0.0	2429214.0
ERR031044_1	49.87891184317233	44.0	61.0	0.0	2341558.0
ERR031044_2	49.66349187958413	44.0	61.0	0.0	2341558.0
ERR299295_1	27.576079789840577	44.0	61.0	0.0	2450851.0
ERR299295_2	27.493999144436117	45.0	61.0	9.090909090909092	2450851.0
ERR299296_1	34.49967321636798	46.0	61.0	0.0	2445322.0
ERR299296_2	34.79187559041475	46.0	61.0	9.090909090909092	2445322.0
ERR299297_1	42.187805592263985	43.0	61.0	0.0	2391133.0
ERR299297_2	42.13785449981623	43.0	61.0	9.090909090909092	2391133.0
ERR299298_1	41.45954720490915	44.0	61.0	0.0	2328506.0
ERR299298_2	41.342962685893525	44.0	61.0	9.090909090909092	2328506.0
ERR299299_1	41.862054393429815	46.0	61.0	0.0	2397775.0
ERR299299_2	41.48234980027041	46.0	61.0	0.0	2397775.0
